topicId,period,word,weight
0,8,教育,0.02593107212231751
0,8,干部,0.02242281410860252
0,8,活动,0.021620771637065904
0,8,作风,0.02017071827986491
0,8,领导,0.015480161546945514
1,8,北京,0.018167092496330937
1,8,奥运,0.010289807299709469
1,8,奥运会,0.009443422186424806
1,8,世界,0.006220271135843804
1,8,鸟巢,0.005807110274651772
2,8,改革,0.036625015608496445
2,8,深化改革,0.02117402960656627
2,8,发展,0.021097543615823805
2,8,战略,0.011749001067558416
2,8,试验区,0.009732689880278762
3,8,脱贫,0.016459051890189442
3,8,习近平,0.013649311279591313
3,8,总书记,0.013326088544712086
3,8,群众,0.011888075462560323
3,8,攻坚,0.009376174393786638
4,8,发展,0.02350962599565036
4,8,北京,0.02012306708072415
4,8,京津冀,0.01359127219778229
4,8,中心,0.013176749870725243
4,8,协同,0.011313835088152008
0,9,教育,0.02510299240735848
0,9,干部,0.023336276256426678
0,9,活动,0.019735561865071596
0,9,作风,0.01935496175945304
0,9,领导,0.016076356175567342
1,9,北京,0.018173393224168992
1,9,奥运,0.010293371004601232
1,9,奥运会,0.009446555918184748
1,9,世界,0.006221897506515862
1,9,鸟巢,0.005808094234918022
2,9,改革,0.0362840569358069
2,9,发展,0.02168602571876066
2,9,深化改革,0.021548203701355694
2,9,战略,0.013126561595400979
2,9,四个,0.010121731169506045
3,9,脱贫,0.019038342347254072
3,9,习近平,0.013244347727046357
3,9,总书记,0.012607131340995292
3,9,群众,0.011815018767502324
3,9,攻坚,0.01009459411752021
4,9,发展,0.023464182648588565
4,9,北京,0.019566988108747765
4,9,京津冀,0.013350311666177228
4,9,中心,0.01301226057730697
4,9,协同,0.011157639835674055
0,10,教育,0.024871931629730174
0,10,干部,0.023192167274421173
0,10,活动,0.01955188735319529
0,10,作风,0.01919604518783292
0,10,领导,0.016004284988231546
1,10,北京,0.018175331882753398
1,10,奥运,0.0102925466472536
1,10,奥运会,0.009445945690777021
1,10,世界,0.0062223184202238645
1,10,鸟巢,0.005808214975467476
2,10,改革,0.03622130667506941
2,10,发展,0.02172501353013362
2,10,深化改革,0.021497344543658325
2,10,战略,0.01315947230005235
2,10,四个,0.010130700186839595
3,10,脱贫,0.023235025034028325
3,10,习近平,0.013014187344274796
3,10,总书记,0.012275235849822198
3,10,攻坚,0.011272804083241366
3,10,群众,0.011014857688791478
4,10,发展,0.023511913319734554
4,10,北京,0.019302306723318983
4,10,京津冀,0.013229047412220857
4,10,中心,0.012899734597854148
4,10,协同,0.01107337458129215
